relative_sec,framework,test_type,http_200,vusers_failed,vusers_created,vusers_completed,request_rate,success_percent,error_percent
150,fastapi-async,soak,245,33,100,74,30,69.1588785046729,30.8411214953271
160,fastapi-async,soak,204,50,100,53,29,51.45631067961165,48.54368932038835
170,fastapi-async,soak,183,61,100,38,29,38.38383838383838,61.61616161616161
180,fastapi-async,soak,211,44,100,55,28,55.55555555555556,44.44444444444444
190,fastapi-async,soak,193,58,100,47,30,44.761904761904766,55.23809523809524
200,fastapi-async,soak,197,55,100,44,29,44.44444444444444,55.55555555555556
210,fastapi-async,soak,197,54,100,43,30,44.329896907216494,55.670103092783506
220,fastapi-async,soak,195,59,100,44,30,42.71844660194174,57.28155339805825
230,fastapi-async,soak,208,48,100,48,29,50.0,50.0
240,fastapi-async,soak,195,57,100,48,30,45.714285714285715,54.285714285714285
250,fastapi-async,soak,175,65,100,38,29,36.89320388349515,63.10679611650486
260,fastapi-async,soak,192,56,100,42,29,42.857142857142854,57.14285714285714
270,fastapi-async,soak,218,41,100,49,30,54.44444444444444,45.55555555555556
280,fastapi-async,soak,204,49,100,55,29,52.88461538461539,47.11538461538461
290,fastapi-async,soak,205,53,100,55,30,50.92592592592593,49.074074074074076
300,fastapi-async,soak,186,61,100,34,30,35.78947368421053,64.21052631578948
310,fastapi-async,soak,190,56,100,41,30,42.2680412371134,57.73195876288659
320,fastapi-async,soak,173,70,100,42,29,37.5,62.5
330,fastapi-async,soak,184,61,100,40,29,39.603960396039604,60.396039603960396
340,fastapi-async,soak,174,61,100,32,28,34.40860215053764,65.59139784946237
350,fastapi-async,soak,177,62,100,39,27,38.613861386138616,61.386138613861384
360,fastapi-async,soak,49,6,2,34,18,85.0,15.0
0,fastapi-async,spike,35,0,20,10,10,100.0,0.0
10,fastapi-async,spike,100,0,50,50,10,100.0,0.0
20,fastapi-async,spike,100,0,50,50,10,100.0,0.0
30,fastapi-async,spike,344,0,494,85,125,100.0,0.0
40,fastapi-async,spike,678,107,1000,195,146,64.56953642384106,35.430463576158935
50,fastapi-async,spike,442,801,999,112,139,12.26725082146769,87.73274917853232
60,fastapi-async,spike,140,1174,1000,10,114,0.8445945945945946,99.1554054054054
70,fastapi-async,spike,206,984,999,24,121,2.380952380952381,97.61904761904762
80,fastapi-async,spike,203,986,1000,21,117,2.0854021847070507,97.91459781529295
90,fastapi-async,spike,192,954,558,23,93,2.3541453428863868,97.64585465711362
100,fastapi-async,spike,1024,31,50,593,104,95.03205128205127,4.967948717948718
110,fastapi-async,spike,100,0,50,50,10,100.0,0.0
120,fastapi-async,spike,65,0,30,40,10,100.0,0.0
0,fastapi-async,stress,53,0,32,11,22,100.0,0.0
10,fastapi-async,stress,200,0,100,100,20,100.0,0.0
20,fastapi-async,stress,200,0,100,100,20,100.0,0.0
30,fastapi-async,stress,200,0,100,100,20,100.0,0.0
40,fastapi-async,stress,201,0,100,101,20,100.0,0.0
50,fastapi-async,stress,199,0,100,99,20,100.0,0.0
60,fastapi-async,stress,268,0,139,119,31,100.0,0.0
70,fastapi-async,stress,400,0,200,200,40,100.0,0.0
80,fastapi-async,stress,400,0,200,200,40,100.0,0.0
90,fastapi-async,stress,400,0,200,200,40,100.0,0.0
100,fastapi-async,stress,400,0,200,200,40,100.0,0.0
110,fastapi-async,stress,400,0,200,200,40,100.0,0.0
120,fastapi-async,stress,429,0,275,178,49,100.0,0.0
130,fastapi-async,stress,676,0,400,302,81,100.0,0.0
140,fastapi-async,stress,724,2,400,315,78,99.36908517350159,0.6309148264984227
150,fastapi-async,stress,690,11,400,331,80,96.78362573099415,3.216374269005848
160,fastapi-async,stress,546,61,400,241,73,79.80132450331125,20.198675496688743
170,fastapi-async,stress,553,132,400,201,75,60.36036036036037,39.63963963963964
180,fastapi-async,stress,385,321,552,86,88,21.13022113022113,78.86977886977887
190,fastapi-async,stress,226,550,800,34,102,5.821917808219178,94.17808219178082
200,fastapi-async,stress,119,887,800,4,92,0.44893378226711567,99.55106621773288
210,fastapi-async,stress,158,785,800,2,97,0.25412960609911056,99.74587039390089
220,fastapi-async,stress,117,801,800,1,93,0.12468827930174563,99.87531172069825
230,fastapi-async,stress,129,798,800,5,96,0.62266500622665,99.37733499377335
240,fastapi-async,stress,87,798,502,6,73,0.7462686567164178,99.25373134328358
250,fastapi-async,stress,0,516,0,2,0,0.3861003861003861,99.61389961389962
0,fastapi-async,write-heavy,184,0,130,68,40,100.0,0.0
10,fastapi-async,write-heavy,410,0,200,197,40,100.0,0.0
20,fastapi-async,write-heavy,424,0,200,205,40,100.0,0.0
30,fastapi-async,write-heavy,370,0,200,200,40,100.0,0.0
40,fastapi-async,write-heavy,397,0,200,198,40,100.0,0.0
